DEPTH,A,ANAL_DATE,ANAL_USERID,BOOST_GR,CUTOFF1,CUTOFF2,CW,CWA_BW,CWB,CWBS,CWBS,CWBT,CWBT,CWB_AUTO,DT_CAL,DT_DC,DT_QTZ,DT_WATER,DT_WC,FP,FT,FWSAL,GASSG,GR_CAL,GR_DC,GR_QTZ,GR_SH,GR_SHGR,GR_SSGR,GR_WATER,GR_WC,KCL_MUD,M,MFST,MM_MODEL,MM_SELEXP1,MM_SELEXP10,MM_SELEXP2,MM_SELEXP3,MM_SELEXP4,MM_SELEXP5,MM_SELEXP6,MM_SELEXP7,MM_SELEXP8,MM_SELEXP9,MM_SELMDL1,MM_SELMDL10,MM_SELMDL2,MM_SELMDL3,MM_SELMDL4,MM_SELMDL5,MM_SELMDL6,MM_SELMDL7,MM_SELMDL8,MM_SELMDL9,MREG_CC,MUDBASE,N,NPHI_CAL,NPHI_DC,NPHI_QGR,NPHI_QTZ,NPHI_QTZ_CP,NPHI_SH,NPHI_SHGR,NPHI_SSGR,NPHI_WATER,NPHI_WC,NPHI_WCGR,OILAPI,OILSG,OPT_FLUID,OPT_GASSG,OPT_OILAPI,OPT_RW_MMIN,PHIEMAX_BOTTOM,PHIEMAX_SURF,PHIE_BOOST,PHIE_PHIEZERO,PHIE_VSHZERO,PHIE_ZERO,QUA_WC,RHOB_CAL,RHOB_DC,RHOB_QGR,RHOB_QTZ,RHOB_SH,RHOB_SHGR,RHOB_SSGR,RHOB_WATER,RHOB_WC,RHOB_WCGR,RMFS,RSHALE,RWS,RWT,SALINITY,SALINITY,SALMF,SALW,SWT_BW,VOL_PHIEZERO,VOL_VSHZERO,VOL_WAT_MIN,VOL_ZERO,VSH_BOOST,VSH_EXP,WAT_DC,WCPORO,WC_IN_SHALE,ZONE
METRES,"","","",%,"","",MH/M,MH/M,MH/M,MH/M,MH/M,DEGF,DEGF,MH/M,US/F,US/F,US/F,US/F,US/F,PSI,DEGF,PPM,"",GAPI,GAPI,GAPI,GAPI,GAPI,GAPI,GAPI,GAPI,%,"",DEGF,ALPHA*72,ALPHA*72,"",ALPHA*72,ALPHA*72,ALPHA*72,ALPHA*72,"","","","",ALPHA*72,"",ALPHA*72,ALPHA*72,ALPHA*72,ALPHA*72,"","","","","",ALPHA*8,"",V/V,V/V,V/V,V/V,V/V,V/V,V/V,V/V,V/V,V/V,V/V,DAPI,"",ALPHA*8,ALPHA*8,ALPHA*8,ALPHA*8,V/V,V/V,V/V,V/V,V/V,V/V,%,G/C3,G/C3,G/C3,G/C3,G/CC,G/C3,G/C3,G/C3,G/C3,G/C3,OHMM,"",OHMM,DEGF,PPM,PPM,PPM,PPM,V/V,V/V,V/V,V/V,V/V,V/V,V/V,%,V/V,%,""
1430,1,07-Mar-2013 11:18:28,j0247487,-999.25,0.055,0.062,10.6616,14.87,18.7566,-999.25,14.87,-999.25,131.1,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2422.16,143.364,35000,0.7,75,132.484,75,-999.25,-999.25,-999.25,0,107,0,1.65,77,PK_A1_ZA_CLAST,"LAYERING_LITHO.LITHO == ""CH""",,"LAYERING_LITHO.LITHO == ""AO""","LAYERING_LITHO.LITHO == ""CA""",,,,,,,AA_COAL,,AA_ORGANIC_SHALE,AA_CARBONATE_TIGHT,,,,,,,-999.25,OIL,1.7,0,0.289294,0.347,-0.06,-999.25,-999.25,-999.25,-999.25,1,0.426,0.42,50,0.779614,DEPTH,INTERVAL,INTERVAL,INTERVAL,0.2,0.45,0.025,-999.25,-999.25,-999.25,-999.25,2.71,2.7,2.062,2.65,-999.25,-999.25,-999.25,1,2.373,2.307,1000,1.02076,0.1063,131.1,30000,35000,34991.71,34990.08,1,-999.25,-999.25,0.01,-999.25,0.6,1.5,-999.25,0.192353,-999.25,ZA
2039.3,1,07-Mar-2013 11:18:31,j0247487,-999.25,0.055,0.062,10.552,20.59,22.4354,-999.25,20.59,-999.25,155.6,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,3321.571,170.605,30000,0.7,48,121.689,48,-999.25,-999.25,-999.25,0,105,0,1.7,77,PK_A1_ZB_CLAST,"LAYERING_LITHO.LITHO == ""CH""",,"LAYERING_LITHO.LITHO == ""AO""","LAYERING_LITHO.LITHO == ""CA""",,,,,,,AA_COAL,,AA_ORGANIC_SHALE,AA_CARBONATE_TIGHT,,,,,,,-999.25,OIL,1.7,0,0.240894,0.306,-0.06,-999.25,-999.25,-999.25,-999.25,1,0.345,0.345,42,0.815562,DEPTH,INTERVAL,INTERVAL,INTERVAL,0.2,0.45,0.025,-999.25,-999.25,-999.25,-999.25,2.71,2.75,2.164,2.65,-999.25,-999.25,-999.25,1,2.51,2.447,1000,1.42282,0.1035,155.6,30000,30000,30022.87,30021.65,1,-999.25,-999.25,0.01,-999.25,0.6,1.5,-999.25,0.137143,-999.25,ZB
2771,1,07-Mar-2013 11:18:34,j0247487,50,0.055,0.062,13.511,34,37.6326,34,34,187.5,187.5,43.9,-999.25,-999.25,-999.25,-999.25,-999.25,4134.374,195.224,33000,0.7,75,125.964,73,105.6,111.9,55.6,0,112,0,1.8,77,PK_A1_Z1A_CLAST,"LAYERING_LITHO.LITHO == ""CH""",,"LAYERING_LITHO.LITHO == ""AO""","LAYERING_LITHO.LITHO == ""CA""","WIRE.FLAG_BADHOLE > 0 & SUBSTRING(LAYERING_FLUID.FLUID,1,1) <> ""G""","WIRE.FLAG_BADHOLE > 0 & SUBSTRING(LAYERING_FLUID.FLUID,1,1) == ""G""",,,,,AA_COAL,,AA_ORGANIC_SHALE,AA_CARBONATE_TIGHT,PK_A1_Z1A_CLAST_BH,PK_A1_Z1A_CLAST_BHG,,,,,0.852,OIL,1.8,0,0.243091,0.211,-0.06,-0.06,0.326993,0.332,0.184,1,0.327,0.332,18.55,0.943019,DEPTH,INTERVAL,INTERVAL,INTERVAL,0.2,0.45,0.025,0,0.12,0,6,2.71,2.75,2.419,2.65,2.55592,2.546,2.251,1,2.556,2.544,1000,1.54151,0.0795,187.5,30000,30000,32991.38,32990.87,1,0.88,0,0.01,0,0.6,1.5,4,0.110857,100,Z1A
3080,1,07-Mar-2013 11:18:35,j0247487,-999.25,0.055,0.062,14.0419,22.45,29.822,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,5063.552,209.934,33000,0.7,62,128.348,62,-999.25,-999.25,-999.25,0,115,0,1.8,77,PK_A1_Z1B_CLAST,"LAYERING_LITHO.LITHO == ""CH""",,"LAYERING_LITHO.LITHO == ""AO""","LAYERING_LITHO.LITHO == ""CA""",,,,,,,AA_COAL,,AA_ORGANIC_SHALE,AA_CARBONATE_TIGHT,,,,,,,-999.25,OIL,1.8,0,0.225446,0.193,-0.06,-999.25,-999.25,-999.25,-999.25,1,0.306,0.293,15.28,0.964028,DEPTH,INTERVAL,INTERVAL,INTERVAL,0.2,0.45,0.025,-999.25,-999.25,-999.25,-999.25,2.71,2.75,2.355,2.65,-999.25,-999.25,-999.25,1,2.568,2.557,1000,2.61893,0.0735,203.2,-999.25,-999.25,33019.2,33018.82,1,-999.25,-999.25,0.01,-999.25,0.6,1.5,-999.25,0.104,-999.25,Z1B
3330.7,1,07-Mar-2013 11:18:37,j0247487,-999.25,0.055,0.062,13.0195,23.38,33.0839,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,5654.865,226.275,28000,0.7,60,123.038,60,-999.25,-999.25,-999.25,0,112,0,1.8,77,PK_A1_Z2_CLAST,"LAYERING_LITHO.LITHO == ""CH""",,"LAYERING_LITHO.LITHO == ""AO""","LAYERING_LITHO.LITHO == ""CA""",,,,,,,AA_COAL,,AA_ORGANIC_SHALE,AA_CARBONATE_TIGHT,,,,,,,-999.25,OIL,1.8,0,0.199153,0.17,-0.06,-999.25,-999.25,-999.25,-999.25,1,0.271,0.274,13.87,0.973378,DEPTH,INTERVAL,INTERVAL,INTERVAL,0.2,0.45,0.025,-999.25,-999.25,-999.25,-999.25,2.71,2.75,2.365,2.65,-999.25,-999.25,-999.25,1,2.593,2.578,1000,3.28099,0.0801,216.7,-999.25,-999.25,27988.32,27987.92,1,-999.25,-999.25,0.01,-999.25,0.6,1.5,-999.25,0.0897143,-999.25,Z2
3687.17,1,07-Mar-2013 11:18:38,j0247487,-999.25,0.055,0.062,12.5783,24.06,36.4591,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,6245.828,242.606,25000,0.7,65,116.595,65,-999.25,-999.25,-999.25,0,108,0,1.8,77,PK_A1_Z3_CLAST,"LAYERING_LITHO.LITHO == ""CH""",,"LAYERING_LITHO.LITHO == ""AO""","LAYERING_LITHO.LITHO == ""CA""",,,,,,,AA_COAL,,AA_ORGANIC_SHALE,AA_CARBONATE_TIGHT,,,,,,,-999.25,OIL,1.8,0,0.178439,0.155,-0.06,-999.25,-999.25,-999.25,-999.25,1,0.239,0.235,12.96,0.97951,DEPTH,INTERVAL,INTERVAL,INTERVAL,0.2,0.45,0.025,-999.25,-999.25,-999.25,-999.25,2.71,2.75,2.393,2.65,-999.25,-999.25,-999.25,1,2.621,2.601,1000,4.54058,0.0817,235.9,-999.25,-999.25,24996.19,24995.97,1,-999.25,-999.25,0.01,-999.25,0.6,1.5,-999.25,0.0737143,-999.25,Z3
3937.12,1,07-Mar-2013 11:18:40,j0247487,-999.25,0.055,0.062,12.2975,27.94,39.3504,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,6736.713,256.172,23000,0.7,50,112,50,-999.25,-999.25,-999.25,0,104,0,1.8,77,PK_A1_Z4_CLAST,"LAYERING_LITHO.LITHO == ""CH""",,"LAYERING_LITHO.LITHO == ""AO""","LAYERING_LITHO.LITHO == ""CA""",,,,,,,AA_COAL,,AA_ORGANIC_SHALE,AA_CARBONATE_TIGHT,,,,,,,-999.25,OIL,1.8,0,0.171846,0.169,-0.06,-999.25,-999.25,-999.25,-999.25,1,0.231,0.231,12.1,0.985376,DEPTH,INTERVAL,INTERVAL,INTERVAL,0.2,0.45,0.025,-999.25,-999.25,-999.25,-999.25,2.71,2.75,2.394,2.65,-999.25,-999.25,-999.25,1,2.625,2.609,1000,4.13813,0.0835,249.3,-999.25,-999.25,23001.48,23001.3,1,-999.25,-999.25,0.01,-999.25,0.6,1.5,-999.25,0.0714286,-999.25,Z4
4191,-999.25,,,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,,,,,,,,,,,,,,,,,,,,,,-999.25,,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,,,,,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,
